REU ,oil_price,natural_gas_price,steel_price,wheat_price,copper_price,commodity_stress_index
1/4/2015,62.48357077,2.50519759,500.3132179,186.3312362,6674.454842,19.2
1/11/2015,59.30867849,2.93710654,618.7028285,203.8825987,6752.376841,35.05
1/18/2015,63.23844269,3.027862456,661.3834496,239.2970327,7884.728328,74.22
1/25/2015,67.61514928,3.547095759,539.5179491,252.3116565,7373.403874,68.59
2/1/2015,58.82923313,2.153767685,683.6286193,195.3130226,6594.67769,28.98
2/8/2015,58.82931522,3.76477516,620.9509505,208.1507148,6603.262613,42.49
2/15/2015,67.89606408,2.920996051,564.7494072,219.4718849,7144.559819,50.8
2/22/2015,63.83717365,2.786559465,597.2115461,225.6032232,7164.179439,53.16
3/1/2015,57.65262807,2.493947812,627.9163456,203.8079296,7164.665151,39.04
3/8/2015,62.71280022,2.172571664,603.8002696,228.4812209,6923.513262,41.85
3/15/2015,57.68291154,3.411585292,626.9377996,210.5232131,6962.363722,47.54
3/22/2015,57.67135123,3.036658984,553.9663203,219.7109546,7098.363857,40.16
3/29/2015,61.20981136,2.35501955,608.4680412,230.925685,7025.767902,44.95
4/5/2015,50.43359878,2.352460614,529.3142752,220.1284454,6334.209888,14.7
4/12/2015,51.37541084,2.83210765,594.4386969,211.2722822,6931.060111,30.58
4/19/2015,57.18856235,3.834510763,554.8046179,217.8078039,6744.57807,37.89
4/26/2015,54.9358444,2.870204324,563.2235029,218.2327408,7052.563426,33.64
5/3/2015,61.57123666,2.248428523,661.8046588,212.5997794,7895.577701,53.93
5/10/2015,55.45987962,2.877128468,654.565506,214.8240787,7110.2445,45.94
5/17/2015,52.93848149,2.863638215,630.456906,251.9729434,6905.941094,47.16
5/24/2015,67.32824384,1.651556679,545.3843618,231.218389,7276.540451,47.22
5/31/2015,58.8711185,2.972852567,584.1795775,214.0903936,7144.806366,42.81
6/7/2015,60.33764102,2.884532735,660.654885,233.9390881,7126.028347,59.33
6/14/2015,52.87625907,3.348103182,607.0858457,213.3236102,7182.055178,46.65
6/21/2015,57.27808638,3.924478047,715.966477,243.4624928,7616.963069,77.64
6/28/2015,60.55461295,3.563282515,619.665892,227.3928438,6660.733469,50.83
7/5/2015,54.24503211,2.865555655,609.6024558,217.8539571,7142.089623,42.08
7/12/2015,61.87849009,2.446737046,584.5441768,228.9543385,6722.085661,35.65
7/19/2015,56.99680655,4.286679902,606.6770452,188.582477,7166.653794,47.89
7/26/2015,58.54153125,3.029609217,592.3765082,197.4646506,6724.394047,30.29
8/2/2015,56.99146694,3.006964646,635.4054338,196.1214999,6874.789956,36.77
8/9/2015,69.26139092,2.987937456,647.8351158,222.8588619,6911.473026,57.96
8/16/2015,59.93251388,3.09904238,560.700527,254.6503,7292.745016,57.16
8/23/2015,54.71144536,2.927819794,533.4383523,264.6260029,7275.536333,47.38
8/30/2015,64.11272456,2.713168997,508.1897313,232.761022,6626.284787,35.78
9/6/2015,53.89578175,2.726570529,625.3995663,230.0168895,7016.480233,42.84
9/13/2015,61.04431798,2.983623365,544.8316697,183.9788453,6787.126044,26.61
9/20/2015,50.20164938,2.728287614,492.3554704,209.146524,6622.448527,14.86
9/27/2015,53.35906976,2.643577109,619.4289302,204.244325,6934.894885,29.81
10/4/2015,60.98430618,3.053215114,724.6499759,207.583048,6907.455163,50.64
10/11/2015,63.6923329,2.872511391,599.6964544,216.6371236,7728.014946,57
10/18/2015,60.85684141,3.751996494,641.9245387,210.5581884,7129.887948,58.88
10/25/2015,59.42175859,1.674515096,604.0914679,180.4140038,6586.71475,19.27
11/1/2015,58.49448152,3.545753426,595.0555173,234.9582051,6830.567799,50.8
11/8/2015,52.60739005,3.623042596,645.9538241,198.5451395,7306.414989,51.53
11/15/2015,56.40077896,1.963304884,585.4862728,224.7849373,7626.532832,41.53
11/22/2015,57.69680615,2.828656203,613.3696157,261.4816534,6524.205006,43.13
11/29/2015,65.28561113,2.814279567,616.0848903,201.6123082,6436.022684,36.71
12/6/2015,61.71809145,2.296244153,566.5954773,169.3942495,7561.289553,35.91
12/13/2015,51.18479922,2.611091656,649.6021175,214.2799156,7116.884253,39.71
12/20/2015,61.62041985,2.444712077,591.2520122,242.0191927,6739.51218,40.64
12/27/2015,58.0745886,3.876135222,562.212742,259.1669491,7160.388726,59.3
1/3/2016,56.61539,3.467839197,626.8254922,195.4090081,6209.275678,34.76
1/10/2016,63.05838144,3.635777547,555.0766009,229.9339845,7001.012652,54.19
1/17/2016,65.15499761,3.360836032,601.4090579,210.6937909,7098.346352,55.5
1/24/2016,64.6564006,2.435474114,599.5440502,217.8810329,7277.281042,49.9
