date,route_id,route_status,origin_country,destination_country,shipping_method,trade_route_type,distance_km,estimated_transit_days,shipping_delay_days,port_congestion_index,container_availability_index,weather_disruption_score,geopolitical_risk_score,trade_volume_tonnes,freight_cost_usd,carbon_emissions_tonnes,origin_active_event_count,origin_active_event_risk,destination_active_event_count,destination_active_event_risk,covid_supply_shock_active,russia_ukraine_war_active,events_warmup,fuel_cost_index,commodity_price_index,natural_gas_price,steel_price,wheat_price,copper_price,origin_region,origin_event_region,origin_income_group,origin_port_capacity_index,origin_logistics_performance_index,origin_trade_dependency_score,origin_gdp_per_capita,origin_population,origin_iso3,destination_region,destination_event_region,destination_income_group,destination_port_capacity_index,destination_logistics_performance_index,destination_trade_dependency_score,destination_gdp_per_capita,destination_population,destination_iso3
01/04/2015,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,7.55,82.22,71.42,59.51,57.15,8418.69,4586.66,3681.49,3,72.72,3,44.56,0,0,1,62.48,19.2,2.50519759,500.3132179,186.3312362,6674.454842,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
01/11/2015,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,9.33,72.01,79.27,91.27,41.47,9343.0,4574.7,4085.69,5,98.86,6,145.96,0,0,1,59.31,35.05,2.93710654,618.7028285,203.8825987,6752.376841,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
01/18/2015,R1,Normal,India,United States,Rail,Consumer Goods,8746,19,3.67,44.64,60.16,46.69,79.69,7090.69,4520.46,3100.76,7,142.94,6,145.96,0,0,1,63.24,74.22,3.027862456,661.3834496,239.2970327,7884.728328,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
01/25/2015,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,9.22,97.82,66.43,56.39,67.15,7829.79,4696.95,3423.97,7,142.94,8,183.98,0,0,1,67.62,68.59,3.547095759,539.5179491,252.3116565,7373.403874,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
02/01/2015,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,6.36,73.21,96.2,95.92,7.59,11339.59,4507.98,4958.8,11,198.03,9,195.5,0,0,1,58.83,28.98,2.153767685,683.6286193,195.3130226,6594.67769,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
02/08/2015,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,10.61,74.91,58.07,86.48,83.86,6844.61,4593.13,2993.15,14,285.79,10,230.36,0,0,1,58.83,42.49,3.76477516,620.9509505,208.1507148,6603.262613,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
02/15/2015,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,7.56,80.74,69.48,25.36,61.04,8189.89,4667.95,3581.44,14,290.23,14,323.34,0,0,1,67.9,50.8,2.920996051,564.7494072,219.4718849,7144.559819,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
02/22/2015,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,8.22,40.05,69.86,45.26,60.27,8234.77,4620.4,3601.06,16,310.89,16,418.07,0,0,1,63.84,53.16,2.786559465,597.2115461,225.6032232,7164.179439,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
03/01/2015,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,8.0,56.59,93.52,84.17,12.97,11022.9,4523.17,4820.31,22,356.11,19,498.34,0,0,1,57.65,39.04,2.493947812,627.9163456,203.8079296,7164.665151,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
03/08/2015,R1,Normal,India,United States,Rail,Consumer Goods,8746,19,3.08,51.89,87.98,64.68,24.05,10369.74,4500.59,4534.69,24,391.6,23,523.46,0,0,1,62.71,41.85,2.172571664,603.8002696,228.4812209,6923.513262,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
03/15/2015,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,6.71,48.42,80.28,27.06,39.45,9462.04,4497.82,4137.75,27,494.69,24,547.71,0,0,1,57.68,47.54,3.411585292,626.9377996,210.5232131,6962.363722,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
03/22/2015,R1,Normal,India,United States,Rail,Consumer Goods,8746,19,4.88,50.31,78.6,50.4,42.81,9264.25,4461.11,4051.26,30,546.9,26,574.78,0,0,1,57.67,40.16,3.036658984,553.9663203,219.7109546,7098.363857,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
03/29/2015,R1,Delayed,India,United States,Rail,Consumer Goods,8746,19,8.43,17.56,52.82,68.09,94.36,6225.96,4585.09,2722.61,34,673.79,28,621.6,0,0,1,61.21,44.95,2.35501955,608.4680412,230.925685,7025.767902,South Asia,Asia,High income,56.04,86.66,23.73,60735,430389014,IND,North America,North America,Low income,21.06,33.87,97.9,63955,250467210,USA
